,nombre,latitud,longitud,ciudad,distancia,tipo
45,Harvard Club Main Bar,40.755504407253284,-73.98146277621939,New York,729,Bar
46,Crossroads American Kitchen & Bar,40.75871,-73.986319,New York,377,Restaurant
47,Bar Nine,40.7656919607909,-73.98746753497036,New York,1019,Bar
48,Momofuku Milk Bar,40.744103,-73.999242,New York,1608,Dessert Shop
49,The Bar,40.76097323649972,-73.97720117034368,New York,1174,Hotel Bar
0,Starbucks,40.75663838,-73.99094694,New York,83,Coffee Shop
1,Starbucks,40.760041,-73.985579,New York,521,Coffee Shop
2,Starbucks,40.75799862,-73.98894971,New York,164,Coffee Shop
3,Starbucks,40.75661177752009,-73.98584961891174,New York,346,Coffee Shop
4,Starbucks,40.758934,-73.992516,New York,326,Coffee Shop
5,Starbucks,40.760445,-73.98719,New York,474,Coffee Shop
6,Starbucks,40.76056698741214,-73.98380932982371,New York,671,Coffee Shop
7,Starbucks,40.755393094045175,-73.9910754150045,New York,176,Coffee Shop
8,Starbucks,40.7556288776424,-73.98387285120268,New York,527,Coffee Shop
9,Starbucks,40.753647,-73.988434,New York,366,Coffee Shop
10,Starbucks,40.76399216,-73.98258137,New York,1020,Coffee Shop
11,Starbucks Reserve Roastery,40.74166158826782,-74.00507982765883,New York,2107,Coffee Shop
12,Starbucks,40.76223640083641,-73.98763905244529,New York,643,Coffee Shop
13,Starbucks,40.75696029208336,-73.98937805564258,New York,55,Coffee Shop
14,Starbucks,40.75099963907575,-73.97505692268861,New York,1409,Coffee Shop
15,Starbucks,40.752632,-73.992905,New York,519,Coffee Shop
16,Starbucks,40.76372,-73.98531,New York,871,Coffee Shop
17,Starbucks,40.75312,-73.985115,New York,573,Coffee Shop
18,Starbucks,40.7569017629723,-73.98128721212817,New York,731,Coffee Shop
19,Starbucks,40.75374802982616,-73.9993136594133,New York,855,Coffee Shop
20,Starbucks,40.75824934428419,-73.98588716983795,New York,382,Coffee Shop
21,Starbucks,40.763706,-73.9773,New York,1320,Coffee Shop
22,Starbucks,40.7489585,-73.99231501,New York,887,Coffee Shop
23,Starbucks,40.751,-73.987015,New York,684,Coffee Shop
24,Starbucks,40.74927198,-73.98927764,New York,832,Coffee Shop
25,Starbucks,40.749138,-73.983826,New York,990,Coffee Shop
26,Starbucks,40.75696,-73.9759,New York,1185,Coffee Shop
27,Starbucks,40.746975,-73.993324,New York,1122,Coffee Shop
28,Starbucks,40.75372078426121,-73.97847568936413,New York,1024,Coffee Shop
29,Starbucks,40.75953488433791,-73.98098084615312,New York,818,Coffee Shop
30,Starbucks,40.754292223412804,-73.98704612024362,New York,366,Coffee Shop
31,Starbucks,40.75052701,-73.98815428,New York,707,Coffee Shop
32,Starbucks,40.76926215,-73.98480808,New York,1461,Coffee Shop
33,Starbucks,40.745068,-73.98686,New York,1324,Coffee Shop
34,Starbucks,40.75645964,-73.97835262,New York,979,Coffee Shop
35,Starbucks,40.76307676,-73.97228402,New York,1649,Coffee Shop
36,Starbucks,40.75765063202952,-73.96921981020988,New York,1751,Coffee Shop
37,Starbucks,40.761845,-73.9787,New York,1107,Coffee Shop
38,Starbucks,40.748974,-73.98229,New York,1078,Coffee Shop
39,Starbucks,40.75403866,-73.97186289,New York,1555,Coffee Shop
40,Starbucks,40.743572,-73.99203,New York,1475,Coffee Shop
41,Starbucks,40.76072487,-73.9787691,New York,1043,Coffee Shop
42,Starbucks,40.75119363,-73.99093502,New York,621,Coffee Shop
43,Starbucks,40.74900081,-73.99035964,New York,861,Coffee Shop
44,Starbucks,40.73698,-73.9964,New York,2264,Coffee Shop
45,Starbucks,40.75041692,-73.97917487,New York,1149,Coffee Shop
46,Starbucks,40.74405161,-73.98373659,New York,1505,Coffee Shop
47,Starbucks,40.76734686,-73.98290708,New York,1323,Coffee Shop
48,Starbucks,40.75097141255199,-73.99345099925995,New York,705,Coffee Shop
49,Starbucks,40.755463,-73.98015,New York,839,Coffee Shop
